gene	sample1	sample2	sample1_rpkm	sample2_rpkm	sp1_rpkm/sp2_rpkm	log2(sp1_rpkm/sp2_rpkm)
pimr100	1	10	0.0387785052586	0.387597357414	0.100048425297	-3.3212296346293044
si.ch211.145b13.6	2	20	0.137497094971	1.37430543822	0.100048425297	-3.321229634629305
si.dkey.35i13.1	1	10	0.0499077046776	0.498835484211	0.100048425297	-3.3212296346293044
si.dkey.4p15.5	3	30	0.0683528424258	0.683197583798	0.100048425297	-3.3212296346293044
LOC110438754	4	39	0.22713751891	2.21351890627	0.102613769536	-3.2847037586041905
p2ry13	8	77	0.145704634361	1.40172831462	0.103946415893	-3.2660880804368437
si.dkey.204l11.1	346	3290	2.97643545561	28.2882454052	0.105218100768	-3.248545180727821
mchr1a	2	19	0.15217179757	1.44493236413	0.105314131892	-3.247229053185528
mchr1a.2	2	19	0.15217179757	1.44493236413	0.105314131892	-3.247229053185528
nitr3a	2	19	0.078549254255	0.745856732084	0.105314131892	-3.247229053185528
bbc3	115	1057	1.04763260164	9.62444941816	0.108851172272	-3.19957115018025
rln3a	17	154	0.799365730625	7.23780815909	0.110443066886	-3.178625239186504
dusp13a	1	9	0.0187792536702	0.168931477462	0.111164916997	-3.169226541184255
ftr61	2	18	0.0703398746309	0.63275245942	0.111164916997	-3.169226541184255
lgi2b	2	18	0.0576439248508	0.51854421708	0.111164916997	-3.1692265411842544
LOC101885027	1	9	0.0404903962041	0.364237182899	0.111164916997	-3.169226541184255
LOC103909155	1	9	0.0167024008326	0.150248849042	0.111164916997	-3.169226541184255
LOC110437877	2	18	0.0767850035213	0.690730543374	0.111164916997	-3.1692265411842544
LOC110438832	1	9	0.141640133614	1.27414419442	0.111164916997	-3.169226541184255
zgc.64022	1	9	0.0747251971675	0.672201259051	0.111164916997	-3.169226541184255
pglyrp6	37	328	0.653547136007	5.79080283005	0.112859504146	-3.1474001787310764
si.ch73.233f7.1	6	52	0.065609983381	0.568344633392	0.115440490727	-3.114778757161878
hpx	2	17	0.0448284374604	0.38085728714	0.117704029761	-3.086764380992282
LOC110440082	2	17	0.103099261068	0.875919552433	0.117704029761	-3.086764380992282
LOC567924	2	17	0.0370908203423	0.315119375416	0.117704029761	-3.086764380992282
rcvrn2	4	34	0.0618828846645	0.525749923686	0.117704029761	-3.086764380992282
si.dkey.220k22.3	2	17	0.0807417186786	0.685972424584	0.117704029761	-3.086764380992282
