number	gene	sample1	sample2	sample1_rpkm	sample2_rpkm	rpkm_ratio	LogFC	DEGs
16236	atxn10	716	679	5.04600939276	4.78293577328	1.05500254069	-0.0772464732775822	NA
16237	LOC100334599	58	55	11.7422148992	11.1294694775	1.05505612132	-0.0773197418609703	NA
16238	mxi1	1991	1888	10.707921177	10.1490557477	1.05506575618	-0.0773329166167191	NA
16239	tmem41b	966	916	13.4444374495	12.7423850561	1.05509583883	-0.077374050996887	NA
16240	ephb3a	11506	10910	18.4858210621	17.5197888728	1.05513948806	-0.077433733931327	NA
16241	ndfip1l	4112	3899	39.8155475794	37.7348444966	1.05514009957	-0.0774345700543001	NA
16242	nfasca	2296	2177	1.93969493959	1.83827178159	1.05517310281	-0.0774796947455391	NA
16243	zgc.162608	328	311	20.1381051358	19.0851198558	1.05517310281	-0.0774796947455391	NA
16244	eif1axa	2333	2212	53.9400723161	51.1177407085	1.05521236988	-0.0775333820075501	NA
16245	bcl2a	829	786	1.35976196314	1.28860747537	1.05521812432	-0.0775412494952017	NA
16246	ccnd2a	6323	5995	3.54244141301	3.35705475236	1.05522300776	-0.0775479261304676	NA
16247	fam135a	3371	3196	10.947385773	10.3740463255	1.05526671363	-0.0776076793142912	NA
16248	smpd3	173	164	0.288707899046	0.27355594269	1.05538887661	-0.0777746832766988	NA
16249	smarca5	22124	20973	116.70813213	110.582847286	1.05539091273	-0.077777466611822	NA
16250	LOC570939	1307	1239	5.60293314774	5.30885546787	1.05539380035	-0.0777814139128894	NA
16251	stx3a	1421	1347	4.07320176301	3.8592168593	1.05544775313	-0.077855164038535	NA
16252	cfap206	96	91	0.735446646409	0.696804703827	1.05545591522	-0.0778663207805175	NA
16253	ncf2	288	273	5.33778766716	5.0573288663	1.05545591522	-0.0778663207805178	NA
16254	top1mt	728	690	7.96357256505	7.54423825971	1.05558338574	-0.0780405487912226	NA
16255	LOC796000	1436	1361	4.78428616904	4.5322157597	1.05561747779	-0.0780871425771145	NA
16256	krr1	1838	1742	43.6976937963	41.3952875023	1.05562000974	-0.0780906029482278	NA
16257	LOC553509	1129	1070	14.5748572711	13.8065092677	1.05565114169	-0.0781331497425493	NA
16258	emc3	3138	2974	64.5546604372	61.1512541623	1.05565554332	-0.0781391651737365	NA
16259	add3b	1950	1848	7.42607541208	7.03422819846	1.05570578641	-0.0782078274789733	NA
16260	rbm8a	8981	8511	172.028318155	162.946703956	1.05573364774	-0.0782459014098294	NA
16261	ahsg1	191	181	4.09500683902	3.87873028853	1.05575962606	-0.0782814012106011	NA
16262	rabgap1l	4578	4338	4.83599444265	4.58025117674	1.05583607886	-0.0783858701414704	NA
16263	cdr2a	553	524	3.19027642516	3.02151123069	1.05585456468	-0.0784111289553146	NA
16264	pde2a	572	542	1.39534700105	1.32152451386	1.05586161015	-0.0784207556825756	NA
16265	igfbp2b	1086	1029	3.00998854992	2.85062530171	1.05590466349	-0.0784795811684507	NA
16266	fzd2	1562	1480	99.8974854614	94.6073733473	1.05591648861	-0.0784957378837248	NA
16267	wu.fb14d09	400	379	4.70104920379	4.45208818366	1.05592005591	-0.0785006118616908	NA
16268	vti1a	9631	9125	5.49075053896	5.19975577169	1.05596316059	-0.0785595042380305	NA
16269	si.dkey.190g6.2	704	667	9.85546418021	9.33297282138	1.05598337945	-0.0785871277107698	NA
16270	psmd2	4280	4055	46.9828065186	44.4913709105	1.05599817576	-0.0786073424419316	NA
16271	si.ch211.208h16.4.2	17215	16310	87.2888715694	82.6600294508	1.05599855395	-0.0786078591160889	NA
16272	pds5b	15596	14776	37.1534253096	35.1829505213	1.05600652473	-0.0786187486732557	NA
16273	ctdspl2a	3271	3099	21.7135824991	20.5618533673	1.05601290464	-0.0786274647546202	NA
16274	LOC108183841	38	36	1.23403049053	1.16851566016	1.05606671147	-0.0787009722593308	NA
16275	LOC110438517	76	72	29.9268546185	28.3380342297	1.05606671147	-0.0787009722593308	NA
16276	recql4	912	864	4.56308879628	4.32083385142	1.05606671147	-0.0787009722593308	NA
16277	si.ch211.226h8.4	76	72	10.1799273947	9.63947379854	1.05606671147	-0.0787009722593311	NA
16278	si.ch73.344o19.1	19	18	0.18138063185	0.171751111819	1.05606671147	-0.0787009722593308	NA
16279	si.dkey.184p9.9	19	18	0.340645365443	0.322560461137	1.05606671147	-0.0787009722593308	NA
16280	si.dkey.79d12.5	855	810	9.60354373679	9.09369041982	1.05606671147	-0.0787009722593311	NA
16281	si.dkeyp.123h10.2	57	54	0.741956027016	0.702565490379	1.05606671147	-0.0787009722593308	NA
16282	tmem244	19	18	0.175618447589	0.166294842629	1.05606671147	-0.0787009722593308	NA
16283	epha5	3248	3077	2.28159841934	2.1604311251	1.05608477532	-0.0787256491096893	NA
16284	ngly1	1990	1885	19.2873341223	18.2608178585	1.05621414505	-0.0789023675330421	NA
16285	cntrl	3068	2906	8.20404873754	7.76708805765	1.05625797939	-0.0789622401281499	NA
16286	cds1	1193	1130	5.29516770506	5.01311262565	1.05626346354	-0.078969730650736	NA
16287	zgc.92140	1476	1398	3.36066917614	3.18153217116	1.05630526279	-0.0790268209430174	NA
16288	kank4	4786	4533	7.86229429707	7.44306931315	1.05632420797	-0.0790526959105714	NA
16289	tram2	1626	1540	10.410567907	9.85517506637	1.05635545151	-0.0790953667508218	NA
16290	usp11	1569	1486	5.93516505868	5.61847444241	1.05636594409	-0.079109696687559	NA
16291	ppp1r12a	11643	11027	18.4150283619	17.4322968062	1.05637418675	-0.0791209537816197	NA
16292	rest	1776	1682	22.5785290476	21.3731442808	1.05639716604	-0.0791523363530194	NA
16293	htt	4761	4509	8.8972605235	8.42224952007	1.05639954056	-0.0791555791768751	NA
16294	siah1	4871	4613	22.2530733908	21.0642047599	1.0564402333	-0.0792111510328501	NA
16295	aspm	19962	18903	84.1192404957	79.6180924874	1.05653423572	-0.079339516826061	NA
16296	slc9a3r1b	1602	1517	4.66772089027	4.41791840673	1.05654302786	-0.0793515224197345	NA
16297	nat9	735	696	19.0719405029	18.0512186302	1.05654587059	-0.0793554041330561	NA
16298	epc1b	3900	3693	20.154777387	19.0757863118	1.05656338657	-0.0793793216894173	NA
16299	nhlrc2	3615	3423	12.8203438916	12.1335536519	1.05660256339	-0.0794328150866999	NA
16300	capza1a	3934	3725	24.3042322716	23.0018925848	1.05661880569	-0.0794549922997017	NA
16301	hspa4b	5815	5506	42.848187241	40.551664361	1.05663202525	-0.0794730420230773	NA
16302	add3a	14722	13939	9.83466147062	9.30709104632	1.05668478171	-0.0795450723796204	NA
16303	osmr	94	89	0.43337270538	0.41012236276	1.05669123348	-0.0795538809692973	NA
16304	si.dkey.200l5.4	94	89	0.991421347528	0.938231827917	1.05669123348	-0.0795538809692973	NA
16305	nphp3	2947	2790	8.55811245867	8.09826154843	1.05678390448	-0.079680398665508	NA
16306	camk2n1a	75	71	4.17838394162	3.95362224475	1.056849563	-0.0797700312492565	NA
16307	LOC101886422	600	568	0.817746929717	0.773759065005	1.056849563	-0.0797700312492565	NA
16308	LOC110439622	75	71	0.582338132575	0.551013269025	1.056849563	-0.0797700312492565	NA
16309	nlgn4a	1180	1117	1.03308684349	0.977457175471	1.05691263967	-0.0798561340239466	NA
16310	grk6	1086	1028	1.37257258336	1.29863873227	1.0569318081	-0.0798822988685413	NA
16311	tsnaxip1	674	638	5.33096581972	5.04378333854	1.05693790988	-0.0798906276750469	NA
16312	LOC110439267	4137	3916	7.77334429071	7.35452804334	1.05694671975	-0.0799026528894992	NA
16313	rac1a	9920	9390	130.435705702	123.407102299	1.05695461017	-0.0799134229911585	NA
16314	si.ch211.157p22.10	393	372	3.12666081377	2.9581548399	1.05696320274	-0.0799251514086326	NA
16315	prrt4.2	56	53	0.509842756706	0.482296198516	1.0571154371	-0.0801329277524626	NA
16316	pter	56	53	0.818383564199	0.774166695023	1.0571154371	-0.0801329277524626	NA
16317	si.ch211.202h22.10	56	53	1.20907449782	1.14374878597	1.0571154371	-0.0801329277524626	NA
16318	si.ch73.217n20.1	112	106	0.631408592032	0.597293890404	1.0571154371	-0.0801329277524629	NA
16319	socs5b.2	336	318	30.2102403812	28.5779956672	1.0571154371	-0.0801329277524626	NA
16320	LOC110437943	2332	2207	6.53009584621	6.17707799946	1.05714965017	-0.0801796191789402	NA
16321	lats1	2383	2255	12.5606279902	11.8801958333	1.05727448995	-0.0803499783055855	NA
16322	slc43a3b	2085	1973	8.52369883565	8.06192706832	1.05727808791	-0.0803548878665249	NA
16323	xpo7.2	1489	1409	7.20580680136	6.81535765698	1.05728960445	-0.0803706025305209	NA
16324	umps	4802	4544	68.3502638868	64.6466619883	1.05728991698	-0.0803710289837922	NA
16325	swt1	18309	17325	61.5917060748	58.253308372	1.05730829366	-0.0803961041406661	NA
16326	prkar2aa	3981	3767	15.418246427	14.5823718243	1.0573208949	-0.0804132984020147	NA
16327	LOC101884567	465	440	0.642792853833	0.607939701644	1.05732994916	-0.080425652728792	NA
16328	si.dkey.112a7.4	186	176	9.37930233761	8.87074308737	1.05732994916	-0.080425652728792	NA
16329	vash1	186	176	2.9553669455	2.79512270303	1.05732994916	-0.0804256527287917	NA
16330	notch1a	37973	35931	69.738939539	65.956784761	1.05734292221	-0.080443353960155	NA
16331	gid8b	3122	2954	42.1143330613	39.8288037069	1.05738383134	-0.0804991714711771	NA
16332	mboat1	5296	5011	26.9579360689	25.4948703553	1.05738667007	-0.0805030446356977	NA
16333	gabrb1	427	404	0.896367616816	0.847675031207	1.0574425149	-0.0805792371267534	NA
16334	nop56	26156	24747	336.477651037	318.197816877	1.05744801878	-0.0805867461883159	NA
16335	si.ch211.168k14.2	2060	1949	5.33612800259	5.04615515964	1.05746411551	-0.0806087070707484	NA
16336	LOC101886098	167	158	2.82506120749	2.67151870903	1.05747386232	-0.0806220045550071	NA
16337	zfyve28	3173	3002	14.2610386304	13.4859490514	1.05747386232	-0.0806220045550071	NA
16338	tmem185	983	930	11.0503438402	10.4494868766	1.0575010975	-0.0806591606032447	NA
16339	LOC110438335	686	649	25.1069026331	23.7412434785	1.05752264644	-0.0806885584317316	NA
16340	rai14	4171	3946	10.3411748469	9.77859624792	1.05753163182	-0.0807008164237248	NA
16341	suclg2	15955	15094	10.1307304249	9.5793940571	1.05755440944	-0.0807318895547274	NA
16342	LOC100333053	2999	2837	31.2168738408	29.5163072028	1.0576144782	-0.0808138318524392	NA
16343	LOC101886687	37	35	0.56937160207	0.538334068843	1.05765478171	-0.0808688089420407	NA
16344	si.cabz01074944.1	222	210	0.793348960881	0.750101994147	1.05765478171	-0.080868808942041	NA
16345	atp5g3b	3218	3044	95.3244235661	90.1265067902	1.0576735631	-0.0808944274779586	NA
16346	telo2	1275	1206	8.10256962063	7.66036806164	1.05772588934	-0.0809658001041934	NA
16347	si.dkey.218f9.10	2050	1939	1.00430472244	0.949465514507	1.05775797761	-0.0810095665440736	NA
16348	zdhhc24.2	277	262	7.50889253304	7.0988361713	1.05776388577	-0.0810176247697957	NA
16349	LOC100334579	406	384	1.18021218434	1.11571950948	1.0578036633	-0.0810718767220776	NA
